factorial9 , comp-exec , maude , 1 , 0.30 , 10076 , 1728
fib32 , comp-exec , maude , 0 , 47.73 , 10076 , 1884
fibfree , comp-exec , maude , 0 , 0.10 , 4080 , 76
fibonacci05 , comp-exec , maude , 0 , 0.10 , 4080 , 80
fibonacci18 , comp-exec , maude , 0 , 0.10 , 4080 , 76
fibonacci19 , comp-exec , maude , 0 , 0.10 , 4080 , 80
fibonacci20 , comp-exec , maude , 0 , 0.20 , 10076 , 1848
fibonacci21 , comp-exec , maude , 0 , 0.10 , 4080 , 76
hanoi4 , comp-exec , maude , 0 , 0.10 , 4080 , 76
langton6 , comp-exec , maude , timeout , 140.02 , 10076 , 1908
langton7 , comp-exec , maude , timeout , 140.03 , 10076 , 1880
logic3 , comp-exec , maude , 0 , 0.10 , 4080 , 76
merge , comp-exec , maude , 0 , 0.10 , 4080 , 80
mergesort10 , comp-exec , maude , 0 , 0.10 , 4080 , 76
mergesort100 , comp-exec , maude , 0 , 0.10 , 4080 , 80
mergesort1000 , comp-exec , maude , 0 , 1.00 , 10076 , 1884
missionaries2 , comp-exec , maude , 0 , 0.20 , 10076 , 1848
missionaries3 , comp-exec , maude , 0 , 0.20 , 10076 , 1848
permutations6 , comp-exec , maude , 0 , 0.20 , 10076 , 1736
permutations7 , comp-exec , maude , 0 , 1.00 , 10076 , 1844
quicksort10 , comp-exec , maude , 0 , 0.10 , 4080 , 76
quicksort100 , comp-exec , maude , 0 , 0.20 , 10076 , 1912
quicksort1000 , comp-exec , maude , 0 , 31.53 , 10076 , 1736
revnat100 , comp-exec , maude , 0 , 0.10 , 4080 , 76
revnat1000 , comp-exec , maude , 0 , 0.50 , 10076 , 1908
revnat10000 , comp-exec , maude , 0 , 40.34 , 10076 , 1844
sieve20 , comp-exec , maude , 0 , 0.10 , 4080 , 80
sieve100 , comp-exec , maude , 0 , 0.10 , 4080 , 80
sieve1000 , comp-exec , maude , 0 , 1.10 , 10076 , 1800
sieve2000 , comp-exec , maude , 0 , 6.50 , 10076 , 1888
sieve10000 , comp-exec , maude , timeout , 140.01 , 10076 , 1732
tak18 , comp-exec , maude , 0 , 0.30 , 10076 , 1796
tak36 , comp-exec , maude , 0 , 12.81 , 10076 , 1740
benchexpr10 , comp , mcrl2 , 0 , 0.60 , 10076 , 1728
benchexpr10 , exec , mcrl2 , 0 , 0.20 , 10076 , 1892
