asfsdfbenchmark , comp-exec , lnt , failed with exit status 1
missionariescannibals , exec , scala , failed with exit status 1
oddeven , comp , scala , 6.81 , 5136 , 2976
oddeven , exec , scala , 0.70 , 1377064 , 42144
permutations , comp , scala , 8.21 , 5136 , 2804
permutations , exec , scala , failed with exit status 1
quicksort , comp , scala , 8.72 , 5136 , 2900
quicksort , exec , scala , timed out after 2500
revelt , comp , scala , 7.71 , 5136 , 3044
revelt , exec , scala , 0.60 , 1376484 , 29164
revnat , comp , scala , 7.61 , 5136 , 2972
revnat , exec , scala , failed with exit status 1
sieve , comp , scala , 10.52 , 5136 , 2896
sieve , exec , scala , failed with exit status 1
tak , comp , scala , 8.32 , 5136 , 2980
tak , exec , scala , 0.70 , 1375128 , 27704
tautologyhard , comp , scala , 7.51 , 5136 , 2800
tautologyhard , exec , scala , 0.60 , 1375128 , 28096
asfsdfbenchmark , comp-exec , sml-smlnj , timed out after 2500
asfsdfbenchmark , comp , sml-mlton , 9.41 , 2272 , 620
asfsdfbenchmark , exec , sml-mlton , timed out after 2500
binarysearch , comp-exec , sml-smlnj , failed with exit status 1
binarysearch , comp , sml-mlton , failed with exit status 1
bubblesort , comp-exec , sml-smlnj , 4.10 , 2272 , 616
bubblesort , comp , sml-mlton , 6.71 , 2272 , 584
bubblesort , exec , sml-mlton , 2.20 , 4232 , 2392
closure , comp-exec , sml-smlnj , 2.91 , 2272 , 616
closure , comp , sml-mlton , 10.62 , 2272 , 604
closure , exec , sml-mlton , 0.20 , 4116 , 2460
dart , comp-exec , sml-smlnj , 0.70 , 2272 , 616
dart , comp , sml-mlton , 6.51 , 2272 , 628
dart , exec , sml-mlton , 0.20 , 5268 , 2856
evalexpr , comp-exec , sml-smlnj , timed out after 2500
evalexpr , comp , sml-mlton , 6.30 , 2272 , 592
evalexpr , exec , sml-mlton , failed with exit status 1
evalsym , comp-exec , sml-smlnj , 13.51 , 2272 , 620
evalsym , comp , sml-mlton , 6.30 , 2272 , 588
evalsym , exec , sml-mlton , 4.40 , 3436 , 1656
evaltree , comp-exec , sml-smlnj , 2.80 , 2272 , 576
evaltree , comp , sml-mlton , 6.30 , 2272 , 584
evaltree , exec , sml-mlton , 0.30 , 3372 , 1632
factorial6 , comp-exec , sml-smlnj , 0.20 , 2272 , 580
factorial6 , comp , sml-mlton , 6.21 , 2272 , 596
